"rank","Player","GP","tau","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
358,"RS Kaluwitharana",179,3.12662219172252,2.97839829948865,3.29615474840862,364,197.975,533.025,335.05,0,0
359,"AG Cremer",68,3.12639409798728,2.96588980597127,3.30046191728239,361,196,543.1,347.1,0,0
360,"BC Lara",289,3.12601088805649,3.0169230282952,3.23915343545599,365,249.95,477.025,227.075,0,0
361,"T Mishra",40,3.12567199827006,2.89534107616052,3.38267582721013,363,136.95,615,478.05,0,0
362,"RN ten Doeschate",32,3.12529976841971,2.93511835941128,3.33239725480776,365,171.9,575.175,403.275,0,0
363,"S Madan Lal",35,3.12440484324097,2.92698250860465,3.34076992971708,371,160.95,588,427.05,0,0
364,"Mohammad Shahzad",90,3.12330378948968,2.98589400188842,3.2855321086845,368.5,213.975,524,310.025,0,0
365,"IDR Bradshaw",34,3.12082780479275,2.88602588799984,3.37499598675877,373,143.925,630,486.075,0,0
366,"Basit Ali",43,3.12079422307622,2.93392727456738,3.34983489271606,371,158.9,576.05,417.15,0,0.001
367,"HA Varaiya",37,3.11997698899195,2.87144031515992,3.37496008971654,366,134.875,651.025,516.15,0,0
368,"JC Buttler",169,3.11783834774745,2.95584225682193,3.28481756075143,374.5,204.975,562.025,357.05,0,0
369,"CS Baugh",34,3.11762215269609,2.90015111684099,3.33838500196588,374.5,165.975,614.05,448.075,0,0
370,"A Johnson",20,3.1174633307953,2.84836412335615,3.47205829361326,384.5,84.9,665.025,580.125,0,0.005
371,"Shafiul Islam",34,3.11679067843614,2.83807179390193,3.43587977304109,376.5,103.975,674,570.025,0,0.001
372,"TM Moody",64,3.11615476694238,2.93156411532857,3.32182846035143,374,181,580.05,399.05,0,0
373,"Mehidy Hasan Miraz",85,3.11546127079461,2.95314095141906,3.28056660261884,374,211.975,561,349.025,0,0
374,"Haris Sohail",44,3.11459891088754,2.94996245202058,3.26906618459826,370,225.95,558.075,332.125,0,0
375,"Sarfraz Nawaz",30,3.11378278887344,2.84080296407809,3.44145548234183,384,99.925,666.025,566.1,0,0.001
376,"D Ramdin",110,3.11294224578012,2.95831102806531,3.26367891922018,376.5,228.975,546.125,317.15,0,0
377,"M van Lingen",39,3.11280457073082,2.9003637815281,3.32630505912929,374.5,181.85,613.05,431.2,0,0
378,"R Rampaul",36,3.11266595607531,2.88075708719855,3.38294248241897,380,135.95,632,496.05,0,0
379,"RP Burl",44,3.11212311772937,2.93770202764016,3.30609138581582,376,185.975,576.05,390.075,0,0
380,"Mohammad Rafique",106,3.1097435858479,2.93534858802367,3.29279039032934,383,198.975,578.025,379.05,0,0
381,"CD McMillan",183,3.10966231015151,2.97178290971489,3.26157340041669,379,239.925,530.05,290.125,0,0
382,"MG Bevan",196,3.10725874208856,2.97978251751913,3.24141404019463,384,241.975,535,293.025,0,0
383,"Anamul Haque",46,3.10717254764569,2.91315589806,3.34850793487635,387,162.925,601.15,438.225,0,0
384,"RR Rossouw",35,3.1067277046476,2.90795942059736,3.31221204019763,385,177,603,426,0,0
385,"AG Prince",41,3.10643343163689,2.92546355617366,3.3145043543077,384.5,188.95,588.025,399.075,0,0
386,"HM Nicholls",79,3.10579572962178,2.95976172103786,3.25874425360561,385,234.975,557,322.025,0,0
387,"Simi Singh",30,3.10356294954114,2.85877725789136,3.35714953883512,385.5,156.95,644,487.05,0,0
388,"Ijaz Ahmed",232,3.10276756749223,2.9980002658018,3.21567930810288,388,275.95,503,227.05,0,0
389,"AA Obanda",45,3.10086223420778,2.87985186203379,3.34436166074678,399.5,164.875,626.025,461.15,0,0
390,"TD Paine",35,3.09975945656561,2.89164276350098,3.3203960832095,391,178,629.025,451.025,0,0
391,"R Powell",48,3.09842148481002,2.92629785346604,3.29309609982452,394.5,203.975,581,377.025,0,0
392,"M Labuschagne",58,3.09789043952698,2.93630196095677,3.26973171304009,390,224.95,574.05,349.1,0,0
393,"Ibrahim Zadran",39,3.09731778674336,2.866249490488,3.42139118967397,406.5,105.875,648,542.125,0,0.004
394,"KJ Coetzer",87,3.09526341599801,2.93209421877426,3.25793125888823,397,235,575.05,340.05,0,0
395,"RC Russell",31,3.09526293823699,2.86499410337242,3.34077036585903,399,156,642.025,486.025,0,0.001
396,"LRD Mendis",74,3.09491090464314,2.93334924726409,3.26775920381031,397,222.875,579.025,356.15,0,0
397,"M Azharuddin",308,3.09263111455834,2.96917124759099,3.22284370705104,400,274,535,261,0,0
398,"CL Hooper",206,3.09234546078742,2.94732126220881,3.24754327023851,399,248.95,568.075,319.125,0,0
399,"Mushfiqur Rahim",256,3.09234510939478,2.9669303906664,3.21528647156628,397,271.95,550,278.05,0,0
400,"AC Botha",38,3.09216789749533,2.87092011706854,3.34586752649963,399.5,167.9,639.05,471.15,0,0
401,"CL White",77,3.09161177552426,2.91564066333482,3.27302775710669,401,222,606.025,384.025,0,0
402,"DS Lehmann",101,3.09024695513467,2.95371998833952,3.2335486587869,402,255.975,561.025,305.05,0,0
403,"TM Odoyo",119,3.08987607194658,2.95463468039167,3.22374310593909,403,265,557,292,0,0
404,"Rashid Latif",115,3.08955964087175,2.92383469509479,3.26973764199048,407,223.925,594.025,370.1,0,0
405,"Shakib Al Hasan",234,3.08931316452655,2.95129350578473,3.22332593016023,401,260.975,559,298.025,0,0
406,"PJ Ongondo",61,3.08904108666836,2.89358532903217,3.28920522169315,405,201,616.025,415.025,0,0
407,"Yuvraj Singh",277,3.08896791059333,2.96140555336435,3.22482998661635,405,257,547,290,0,0
408,"CZ Harris",213,3.08682330134141,2.95129605645096,3.22409875262893,408,268,560.075,292.075,0,0
409,"BA King",58,3.08423512212595,2.92599361097058,3.25398941991075,407,243.95,587,343.05,0,0
410,"KLT Arthurton",91,3.0839970884976,2.92421412349562,3.25891955954766,410,239,586,347,0,0
411,"AC Parore",160,3.08294941179975,2.95126087062738,3.23291256766172,413,263,554.05,291.05,0,0
412,"E Lewis",67,3.08276766953891,2.91562284108471,3.23513089335395,411,255,592.125,337.125,0,0
413,"RG Sharma",268,3.08264914123286,2.98373387755817,3.19864867612055,415,286.975,532.075,245.1,0,0
414,"Fakhar Zaman",85,3.08214006049076,2.92381528933389,3.25487654791336,413,245.95,591.025,345.075,0,0
415,"V Kohli",292,3.08044541459068,2.9543949968978,3.21504321965564,413,269.975,563.025,293.05,0,0
416,"MJ Guptill",194,3.07949861225309,2.94962868549805,3.21042928623349,416.5,273.95,564.1,290.15,0,0
417,"AR Border",251,3.07935718936403,2.96652983891448,3.20757448995593,414,285,533,248,0,0
418,"GJ Rennie",37,3.07880208378692,2.88892570933739,3.32315810757067,423.5,178.975,636.025,457.05,0,0
419,"Muhammad Usman",37,3.07738331520303,2.86416719942399,3.31577723687937,422,184.975,648.15,463.175,0,0
