"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
604,"S Bau",57,3.07582591812289,2.76573884643641,3.40282601367007,589.5,358.775,714,355.225,0,0
605,"Javed Omar",79,3.07429525346863,2.732967686107,3.454484733605,590,313.95,726,412.05,0,0
606,"AM Blignaut",41,3.07322429199314,2.69280162362294,3.48826815001941,594.5,281.925,739,457.075,0,0
607,"NP Kenjige",41,3.07005407827561,2.66316353407063,3.4892311360141,596,290.95,746,455.05,0,0
608,"Azhar Mahmood",108,3.06622309796841,2.82969714510332,3.33824973227648,593,409.9,698.025,288.125,0,0
609,"NR Mongia",99,3.06341600156335,2.76464354252116,3.34136804814232,594,400.975,717.025,316.05,0,0
610,"Mohammad Nawaz",30,3.06300989295303,2.64777953668911,3.49711804705467,597,285.95,749.025,463.075,0,0
611,"SF Mire",57,3.0613098470215,2.7538784361972,3.39387252889918,598.5,371.95,719,347.05,0,0
612,"JK Kamande",71,3.05878416034684,2.74088336643453,3.39478773418513,596.5,370.9,726.025,355.125,0,0
613,"SE Bond",39,3.0586556025623,2.58001247977271,3.57598688675085,595.5,222.95,761,538.05,0,0.001
614,"TJ Friend",38,3.05661694990966,2.65917868446216,3.49547239344335,602.5,283.8,745.025,461.225,0,0
615,"IA Healy",118,3.05518546814666,2.82062651256477,3.34336351885267,602,405,705.025,300.025,0,0
616,"BL Cairns",65,3.05031375362474,2.72353659312155,3.40030080275545,606,355,730,375,0,0
617,"AF Giles",32,3.05029251961946,2.64420671195459,3.48545858873766,602,288.95,748.025,459.075,0,0
618,"MR Adair",39,3.04831263582376,2.63922224351968,3.49112963463842,606,285.9,751.025,465.125,0,0
619,"RJ Ratnayake",54,3.04796851246929,2.70773274075189,3.44819428229485,610.5,320,735.025,415.025,0,0
620,"DSBP Kuruppu",75,3.04689345728906,2.74032767567638,3.37495353820423,605,380,722,342,0,0
621,"MJ Horne",53,3.04426016717154,2.7469385791197,3.35027472157239,609,404.975,722,317.025,0,0
622,"TE Blain",38,3.03945731243458,2.60698329651008,3.48337073551778,608.5,291.95,760.025,468.075,0,0
623,"P Utseya",130,3.03908078122005,2.74480109762452,3.3919338216983,611,363.95,723,359.05,0,0
624,"JG Bracewell",44,3.03886232833785,2.6413049621935,3.44359583881627,610.5,337.925,747.05,409.125,0,0
625,"AH Omarshah",30,3.03249594325538,2.64102503091356,3.50720537127705,613.5,271.95,748,476.05,0,0
626,"NK Patel",35,3.02895454618797,2.65708534780318,3.46084450230754,616.5,308.95,744.05,435.1,0,0.001
627,"NLTC Perera",133,3.0288763869533,2.82064377784619,3.27279781557086,617,462,701,239,0,0
628,"GS Blewett",32,3.02846601576415,2.64273737463841,3.44998502537199,613,322.875,749.025,426.15,0,0
629,"DO Obuya",101,3.02787637915633,2.74148678121205,3.34553707146937,618,408.75,722,313.25,0,0
630,"AR McBrine",68,3.02616030505855,2.71754801643122,3.32115260917721,614,417.85,731,313.15,0,0
631,"AR Adams",33,3.02358324884171,2.61685610207739,3.44587890872914,616.5,320.875,756,435.125,0,0
632,"DL Vettori",183,3.02352940233792,2.77685895529686,3.30529281745874,618,437.975,714,276.025,0,0
633,"R Mutumbami",40,3.02333848016427,2.61542167279363,3.45273522325715,619,329.95,755.1,425.15,0,0
634,"MA Ealham",45,3.01656907579852,2.66768186152712,3.39675705080816,620,363.85,742,378.15,0,0
635,"KAJ Roach",53,3.01342023837632,2.53754535376489,3.49570896485944,623,278.9,767.025,488.125,0,0
